iter	Passed	Remaining
0	98	98655
1	115	57479
2	126	42086
3	138	34384
4	150	30046
5	164	27220
6	176	25020
7	187	23301
8	199	21946
9	213	21107
10	225	20245
11	237	19548
12	248	18858
13	260	18331
14	272	17897
15	283	17456
16	294	17057
17	309	16858
18	323	16724
19	336	16478
20	348	16255
21	361	16070
22	374	15896
23	386	15724
24	398	15522
25	411	15429
26	447	16130
27	468	16247
28	516	17278
29	591	19123
30	614	19198
31	627	18979
32	639	18745
33	655	18612
34	671	18509
35	683	18305
36	693	18061
37	705	17866
38	718	17712
39	728	17491
40	740	17310
41	751	17134
42	760	16933
43	771	16760
44	782	16604
45	791	16413
46	802	16266
47	813	16131
48	824	16003
49	835	15875
50	846	15745
51	856	15615
52	868	15524
53	879	15411
54	889	15287
55	900	15172
56	912	15095
57	922	14980
58	933	14893
59	944	14794
60	954	14687
61	964	14597
62	975	14503
63	985	14412
64	996	14329
65	1006	14250
66	1018	14181
67	1029	14115
68	1041	14051
69	1051	13963
70	1061	13888
71	1071	13808
72	1081	13734
73	1092	13666
74	1101	13587
75	1112	13524
76	1123	13464
77	1133	13393
78	1143	13336
79	1154	13271
80	1164	13208
81	1183	13248
82	1214	13417
83	1229	13409
84	1240	13358
85	1253	13323
86	1266	13287
87	1277	13243
88	1289	13202
89	1300	13145
90	1314	13125
91	1331	13141
92	1357	13236
93	1371	13215
94	1390	13246
